2,v,8;
2,w,17;
2,x,18;
2,y,1;
2,z,6;
2,},1;
2,~,1;
2,€,1;
2,„,1;
2,…,1;
2,’,3;
2,“,14;
2,–,353;
2,°,2;
2,½,1;
2,Ö,1;
2,×,3;
2,Ü,1;
3, ,5288;
3,",2;
3,%,1;
3,',3;
3,(,2;
3,),732;
3,*,3;
3,+,1;
3,,,1138;
3,-,2922;
3,.,2160;
3,/,166;
3,0,2201;
3,1,1330;
3,2,1066;
3,3,1128;
3,4,998;
3,5,1155;
3,6,972;
3,7,844;
3,8,955;
3,9,882;
3,:,729;
3,;,42;
3,=,84;
3,?,1;
3,],12;
3,a,55;
3,b,15;
3,c,13;
3,d,108;
3,e,39;
3,f,25;
3,g,33;
3,h,25;
3,i,9;
3,j,12;
3,k,10;
3,l,14;
3,m,25;
3,n,10;
3,o,8;
3,p,14;
3,q,1;
3,r,22;
3,s,36;
3,t,19;
3,u,5;
3,v,7;
3,w,15;
3,x,9;
3,y,2;
3,z,2;
3,‚,2;
3,„,2;
3,’,1;
3,“,9;
3,–,439;
3,ª,1;
3,°,6;
3,²,1;
3,¼,1;
3,½,7;
3,¾,1;
3,Ü,1;
4, ,5310;
4,",2;
4,#,2;
4,',5;
4,),857;
4,+,1;
4,,,1100;
4,-,727;
4,.,1903;
4,/,212;
4,0,1581;
4,1,914;
4,2,990;
4,3,882;
4,4,932;
4,5,1401;
4,6,918;
4,7,941;
4,8,982;
4,9,994;
4,:,605;
4,;,59;
4,=,79;
4,?,1;
4,[,2;
4,],10;
4,a,29;
4,b,22;
4,c,15;
4,d,43;
4,e,25;
4,f,29;
4,g,23;
4,h,24;
4,i,10;
4,j,17;
4,k,7;
4,l,17;
4,m,17;
4,n,5;
4,o,7;
4,p,18;
4,q,1;
4,r,21;
4,s,13;
4,t,28;
4,u,9;
4,v,11;
4,w,14;
4,x,10;
4,y,5;
4,z,5;
4,~,2;
4,€,1;
4,„,1;
4,’,1;
4,“,7;
4,–,404;
4,°,7;
4,½,2;
4,¾,1;
4,×,7;
5, ,6495;
5,",2;
5,#,1;
5,%,3;
5,',7;
5,(,3;
5,),896;
5,,,1073;
5,-,678;
5,.,2230;
5,/,194;
5,0,2491;
5,1,904;
5,2,1018;
5,3,985;
5,4,961;
5,5,1009;
5,6,896;
5,7,933;
5,8,906;
5,9,898;
5,:,640;
5,;,38;
5,=,93;
5,?,2;
5,],5;
5,a,50;
5,b,24;
5,c,16;
5,d,39;
5,e,17;
5,f,23;
5,g,25;
5,h,20;
5,i,5;
5,j,16;
5,k,16;
5,l,13;
5,m,27;
5,n,8;
5,o,8;
5,p,18;
5,q,1;
5,r,8;
5,s,20;
5,t,25;
5,u,2;
5,v,9;
5,w,11;
5,x,11;
5,y,1;
5,z,2;
5,},1;
5,~,1;
5,„,2;
5,’,2;
5,“,11;
5,–,519;
5,«,1;
5,°,8;
5,²,1;
5,½,2;
5,É,1;
5,Ö,1;
6, ,5229;
6,",4;
6,%,1;
6,',6;
6,(,5;
6,),804;
6,+,3;
6,,,986;
6,-,645;
6,.,2022;
6,/,147;
6,0,1643;
6,1,933;
6,2,932;
6,3,897;
6,4,794;
6,5,1103;
6,6,961;
6,7,911;
6,8,905;
6,9,868;
6,:,599;
6,;,61;
6,=,80;
6,],3;
6,a,32;
6,b,20;
6,c,17;
6,d,46;
6,e,24;
6,f,15;
6,g,25;
6,h,20;
6,i,8;
6,j,23;
6,k,14;
6,l,15;
6,m,22;
6,n,19;
6,o,6;
6,p,13;
6,q,1;
6,r,8;
6,s,19;
6,t,22;
6,u,16;
6,v,11;
6,w,16;
6,x,7;
6,y,5;
6,z,2;
6,~,3;
6,‚,1;
6,„,1;
6,‘,1;
6,’,3;
6,“,6;
6,–,387;
6,—,1;
6,²,3;
6,¼,1;
6,Ü,1;
6,è,1;
7, ,4623;
7,",4;
7,#,2;
7,',3;
7,),725;
7,+,3;
7,,,907;
7,-,624;
7,.,1804;
7,/,133;
7,0,1678;
7,1,1115;
7,2,1099;
7,3,1004;
7,4,984;
7,5,1253;
7,6,1096;
7,7,1141;
7,8,2087;
7,9,1348;
7,:,549;
7,;,48;
7,=,93;
7,?,2;
7,\,1;
7,],9;
7,_,1;
7,a,40;
7,b,14;
7,c,16;
7,d,42;
7,e,26;
7,f,18;
7,g,32;
7,h,19;
7,i,10;
7,j,14;
7,k,14;
7,l,27;
7,m,15;
7,n,11;
7,o,8;
7,p,17;
7,r,20;
7,s,31;
7,t,20;
7,u,8;
7,v,5;
7,w,16;
7,x,5;
7,y,2;
7,z,2;
7,~,1;
7,€,1;
7,‚,1;
7,’,2;
7,“,4;
7,–,390;
7,—,1;
7,°,7;
7,Ö,1;
7,×,1;
